ID_corrected	Equa_BiGG_Corrected	Genes	LB	UB
MNXR85270	1 cmp_nate_c + 1 MNXM2140_c <==> 1 h_c + 1 MNXM2348_c + 1 cmp_c	(1185660.4.peg.3117 or 1185660.4.peg.2670)	-1000	1000
MNXR85277	1 h2o_c + 1 dhbpt_c <==> 1 MNXM380_c	1185660.4.peg.2085	-1000	1000
MNXR85287	2 h_c + 1 MNXM5008_c + 1 nadph_c <==> 1 h2o_c + 1 MNXM4381_c + 1 nadp_c	1185660.4.peg.2630	-1000	1000
MNXR85297	1 h_c + 1 MNXM2773_c + 1 for_c <==> 1 h2o_c + 1 MNXM53766_c	(1185660.4.peg.4161 or 1185660.4.peg.1823)	-1000	1000
MNXR85306	1 cmp_nate_c + 1 MNXM5618_c <==> 1 h_c + 1 cmp_c + 1 MNXM3909_c	(1185660.4.peg.2670 or 1185660.4.peg.3117)	-1000	1000
MNXR85308	1 acnam_c + 1 MNXM2348_c <==> 1 h2o_c + 1 MNXM3909_c	(1185660.4.peg.1420 or 1185660.4.peg.1308 or 1185660.4.peg.3662)	-1000	1000
MNXR85310	2 h_c + 1 MNXM2348_c + 1 h2o_c <==> 1 acnam_c + 1 MNXM44096_c	(1185660.4.peg.1308 or 1185660.4.peg.1420 or 1185660.4.peg.3662)	-1000	1000
MNXR85314	1 amp_c + 1 h_c + 1 btnCCP_c <==> 1 btamp_c + 1 MNXM96175_c	1185660.4.peg.3842	-1000	1000
MNXR85335	1 MNXM1659_c <==> 1 f6p_c	(1185660.4.peg.1816 or 1185660.4.peg.4064)	-1000	1000
MNXR85362	1 h_c + 1 3hpimcoa_c <==> 1 h2o_c + 1 MNXM6723_c	1185660.4.peg.769	-1000	1000
MNXR85363	1 amet_c + 1 MNXM5555_c --> 1 ahcys_c + 1 q8_c	Unknown	0	1000
MNXR85368	1 nadh_c + 1 MNXM1979_c + 1 h_c <==> 1 phthr_c + 1 nad_c	(1185660.4.peg.895 or 1185660.4.peg.895)	-1000	1000
MNXR85427	1 MNXM126482_c + 1 h2o_c <==> 1 h_c + 1 MNXM93768_c	(1185660.4.peg.2778 or 1185660.4.peg.2895 or 1185660.4.peg.2831 or 1185660.4.peg.3381)	-1000	1000
MNXR85428	1 h_c + 1 cmp_c + 1 MNXM3421_c <==> 1 cdpea_c + 1 ak2g_hs_c	1185660.4.peg.819	-1000	1000
MNXR85460	1 h_c + 1 gdp_c + 1 adocbip_c <==> 1 gtp_c + 1 adocbi_c	1185660.4.peg.2927	-1000	1000
MNXR85534	1 trnagln_c + 1 h2o_c + 1 MNXM8973_c <==> 1 MNXM3335_c + 2 ACP_c	1185660.4.peg.1169	-1000	1000
MNXR85555	1 ppi_c + 1 MNXM2847_c <==> 1 4hbz_c + 1 MNXM968_c	1185660.4.peg.1241	-1000	1000
MNXR85587	1 MNXM1213_c + 1 co2_c <-- 1 MNXM1979_c + 1 h_c	1185660.4.peg.895	-1000	0
MNXR85589	1 nadh_c + 1 gg4abut_c + 2 h_c <-- 1 ggbutal_c + 1 h2o_c + 1 nad_c	1185660.4.peg.2630	-1000	0
MNXR85709	1 ppi_c + 1 MNXM3671_c <==> 1 dmpp_c + 1 atp_c	1185660.4.peg.1775	-1000	1000
MNXR8571	2 h_c + 2 cl_c + 1 fald_c <==> 1 h2o_c + 1 MNXM3262_c	(1185660.4.peg.178 or 1185660.4.peg.245 or 1185660.4.peg.247)	-1000	1000
MNXR85731	1 coa_c + 1 h_c + 1 MNXM90206_c <==> 1 h2o_c + 1 c226coa_c	1185660.4.peg.2982	-1000	1000
MNXR85739	1 coa_c + 1 h_c + 1 MNXM9691_c <==> 1 h2o_c + 1 MNXM9382_c	1185660.4.peg.769	-1000	1000
MNXR85754	1 MNXM1596_c + 1 MNXM3335_c <==> 1 trnagln_c + 1 MNXM2292_c + 1 h2o_c	1185660.4.peg.1169	-1000	1000
MNXR85795	1 man_c + 1 trnagln_c <==> 1 h2o_c + 1 MNXM7125_c	1185660.4.peg.2802	-1000	1000
MNXR85856	1 co2_c + 1 meoh_c + 1 pyphphbda_c <==> 1 h2o_c + 1 phphbda_c	1185660.4.peg.147	-1000	1000
MNXR8605	1 MNXM1051_c + 1 nadp_c <==> 1 h_c + 1 nadph_c + 1 Sfglutth_c	(1185660.4.peg.676 or 1185660.4.peg.677 or 1185660.4.peg.767)	-1000	1000
MNXR8691	1 asp__L_c + 1 pphn_c <==> 1 oaa_c + 1 Largn_c	((1185660.4.peg.1488 or 1185660.4.peg.3251) or 1185660.4.peg.2157)	-1000	1000
MNXR86939	1 arab__L_e + 1 h2o_c + 1 atp_c --> 1 arab__L_c + 1 h_c + 1 adp_c + 1 pi_c	1185660.4.peg.2334	0	1000
MNXR8700	1 MNXM2451_c <==> 1 MNXM2709_c + 1 h2o_c	1185660.4.peg.3765	-1000	1000
MNXR87148	1 h_c + 1 acgam6p_c + 1 adp_c <==> 1 acgam_c + 1 atp_c	(1185660.4.peg.2797 or 1185660.4.peg.2853)	-1000	1000
MNXR8716	1 MNXM1213_c + 1 dxyl5p_c --> 1 h_c + 2 h2o_c + 1 pdx5p_c + 1 pi_c	1185660.4.peg.7	0	1000
MNXR87173	1 r5p_c + 1 atp_c <==> 1 h_c + 1 adp_c + 1 r15bp_c	1185660.4.peg.4131	-1000	1000
MNXR8742	1 cbp_c + 1 acorn_c --> 1 h_c + 1 MNXM3314_c + 1 pi_c	(1185660.4.peg.2008 or 1185660.4.peg.3200)	0	1000
MNXR8903	1 co2_c + 1 ac_c <-- 1 h_c + 1 malon_c	(1185660.4.peg.544 and 1185660.4.peg.547 and 1185660.4.peg.548 and 1185660.4.peg.545 and 1185660.4.peg.543 and 1185660.4.peg.546 and 1185660.4.peg.542)	-1000	0
MNXR8926	1 nadh_c + 1 h_c + 1 MNXM839_c <==> 1 MNXM1502_c + 1 nad_c	(1185660.4.peg.3035 or 1185660.4.peg.3115 or 1185660.4.peg.2389 or 1185660.4.peg.29 or 1185660.4.peg.180)	-1000	1000
MNXR8994	1 coa_c + 1 msa_c + 1 nadp_c <==> 1 h_c + 1 malcoa_c + 1 nadph_c	1185660.4.peg.2630	-1000	1000
MNXR9029	1 nadh_c + 1 MNXM1245_c + 2 h_c <==> 1 MNXM1883_c + 1 h2o_c + 1 nad_c	1185660.4.peg.2630	-1000	1000
MNXR90744	1 h_e + 1 galur_e <==> 1 h_c + 1 galur_c	1185660.4.peg.4095	-1000	1000
MNXR92341	1 coa_c + 1 1odecg3p_c <-- 1 stcoa_c + 1 glyc3p_c	1185660.4.peg.4105	-1000	0
MNXR93624	1 tre_c + 1 h2o_c <==> 2 glc__D_c	1185660.4.peg.609	-1000	1000
MNXR93625	2 sucr_c <==> 1 MNXM6568_c + 1 glc__D_c	1185660.4.peg.3404	-1000	1000
MNXR93681	1 cinnm_c + 1 nh4_c <==> 1 phe__L_c	1185660.4.peg.1498	-1000	1000
MNXR93694	1 fru_c + 1 glc__D_c <==> 1 MNXM339_c + 1 sbt__D_c	1185660.4.peg.917	-1000	1000
MNXR93698	1 2obut_c + 1 cys__L_c + 1 nh4_c <-- 1 h2o_c + 1 MNXM7231_c	(1185660.4.peg.3490 or 1185660.4.peg.4403)	-1000	0
MNXR93703	1 h2o_c + 1 MNXM4489_c <==> 1 btn_c + 1 nh4_c	1185660.4.peg.2005	-1000	1000
MNXR93704	1 nadh_c + 1 h_c + 1 4mop_c + 1 nh4_c <==> 1 leu__L_c + 1 h2o_c + 1 nad_c	1185660.4.peg.1583	-1000	1000
MNXR93715	1 nadh_c + 1 h_c + 1 3mob_c + 1 nh4_c <==> 1 val__L_c + 1 h2o_c + 1 nad_c	1185660.4.peg.1583	-1000	1000
MNXR93716	1 h2o_c + 1 MNXM5664_c <==> 1 glc__D_c + 1 cellb_c	1185660.4.peg.1837	-1000	1000
MNXR93746	1 h_c + 1 h2o_c + 1 gsn_c <==> 1 xtsn_c + 1 nh4_c	1185660.4.peg.1879	-1000	1000
