Reaction	Void	rpfCGH
MNXR85052	-1	-1
MNXR85058	0	1
MNXR85082	0	0
MNXR85159	0	0
MNXR85179	0	0
MNXR85205	-1	-1
MNXR85233	0	0
MNXR85234	0	0
MNXR85248	0	1
MNXR85267	0	1
MNXR85268	0	0
MNXR85270	0	1
MNXR85277	0	0
MNXR85287	0	0
MNXR85297	1	1
MNXR85306	0	1
MNXR85308	0	0
MNXR85310	0	0
MNXR85314	0	-1
MNXR85335	-1	-1
MNXR85362	0	0
MNXR85363	-1	-1
MNXR85368	-1	-1
MNXR85427	0	0
MNXR85428	0	0
MNXR85460	-1	-1
MNXR85534	0	-1
MNXR85555	-1	0
MNXR85587	-1	-1
MNXR85589	0	0
MNXR85709	0	0
MNXR8571	-1	-1
MNXR85731	1	1
MNXR85739	0	0
MNXR85754	0	-1
MNXR85795	-1	-1
MNXR85856	-1	-1
MNXR8605	0	0
MNXR8691	1	1
MNXR86939	0	0
MNXR8700	0	1
MNXR87148	0	0
MNXR8716	0	0
MNXR87173	0	0
MNXR8742	1	0
MNXR8903	-1	-1
MNXR8926	0	0
MNXR8994	0	0
MNXR9029	0	0
MNXR90744	-1	-1
MNXR92341	0	0
MNXR93624	0	0
MNXR93625	0	0
MNXR93681	0	0
MNXR93694	0	-1
MNXR93698	1	1
MNXR93703	0	0
MNXR93704	0	0
MNXR93715	0	0
MNXR93716	-1	1
MNXR93746	0	-1
MNXR93748	0	0
MNXR93752	-1	-1
MNXR93753	0	0
MNXR93771	-1	0
MNXR93774	0	0
MNXR93778	0	0
MNXR93797	-1	1
MNXR93798	-1	1
MNXR93834	1	1
MNXR93840	-1	-1
MNXR93844	-1	1
MNXR93845	-1	1
MNXR93864	1	1
MNXR93865	1	1
MNXR93869	1	1
MNXR93881	-1	-1
MNXR93945	0	0
MNXR93946	0	0
MNXR93966	0	0
MNXR94017	-1	-1
MNXR94061	0	1
MNXR94063	0	0
MNXR94066	-1	-1
MNXR94094	0	0
MNXR94163	0	-1
MNXR94164	0	-1
MNXR94165	0	-1
MNXR94166	0	-1
MNXR94179	0	-1
MNXR94180	0	-1
MNXR94181	0	-1
MNXR94182	0	-1
MNXR94183	0	-1
MNXR94184	0	-1
MNXR94190	0	0
MNXR94192	-1	-1
MNXR94194	-1	-1
MNXR94195	-1	-1
MNXR94196	-1	-1
MNXR94197	-1	-1
MNXR94198	-1	-1
MNXR94199	-1	-1
MNXR94200	-1	-1
MNXR94201	-1	-1
MNXR94202	-1	-1
MNXR94217	-1	-1
MNXR94218	-1	-1
MNXR94219	-1	-1
MNXR94220	-1	-1
MNXR94221	-1	-1
MNXR94222	-1	-1
MNXR94223	-1	-1
MNXR94224	-1	-1
MNXR94225	-1	-1
MNXR94226	-1	-1
MNXR94227	-1	-1
MNXR94245	0	-1
MNXR94246	0	-1
MNXR94247	0	-1
MNXR94248	0	-1
MNXR94249	0	-1
MNXR94250	0	-1
MNXR94251	0	-1
MNXR94252	0	-1
MNXR94253	0	-1
